,order,family,genus,species.epithet,stem.length.m,VD.base.um,VD.tip.um,min.length.leaf,max.length.leaf,min.length.petiole,max.length.petiole,min.length.blade,max.length.blade,leaf.type,length.leaf.cm,species,long.hoja,long.hoja.mean,long.lam.pet.mean,Nota
449,Poales,Flagellariaceae,Flagellaria,neocaledonica,2.97,103.68,27.76,22,54,NA,NA,NA,NA,simple,NA,Flagellaria_neocaledonica,NA,38,NA,
450,Poales,Poaceae,Panicum,clandestinum,1.04,36.78,22.02,10,25,NA,NA,NA,NA,simple,NA,Panicum_clandestinum,NA,17.5,NA,
451,Poales,Restionaceae,Baloskion,tetraphyllum,1.24,33.46,17.84,NA,NA,NA,NA,1.44,3.32,simple,2.38,Baloskion_tetraphyllum,2.38,NA,NA,Sésil
452,Proteales,Proteaceae,Bellendena,montana,0.5,24.52,7.84,1,6,NA,NA,NA,NA,simple,NA,Bellendena_montana,NA,3.5,NA,
453,Proteales,Proteaceae,Embothrium,coccineum,1.34,30.86,8.17,4,8,NA,NA,NA,NA,simple,NA,Embothrium_coccineum,NA,6,NA,
454,Proteales,Proteaceae,Grevillea,exul,3.11,78.35,18.73,NA,NA,0.9,2.1,6.6,9.6,simple,NA,Grevillea_exul,NA,NA,9.6,
455,Proteales,Proteaceae,Lambertia,formosa,2.8,34.44,12.06,3,8,NA,NA,NA,NA,simple,NA,Lambertia_formosa,NA,5.5,NA,
456,Proteales,Proteaceae,Orites,diversifolius,1.99,34.81,8.11,NA,NA,0.2,0.3,2,12,simple,NA,Orites_diversifolius,NA,NA,7.25,
457,Proteales,Proteaceae,Persoonia,falcata,5,102.98,16.58,8,35,NA,NA,NA,NA,simple,NA,Persoonia_falcata,NA,21.5,NA,
458,Proteales,Proteaceae,Roupala,montana,5.63,89.07,15.11,NA,NA,3,5,5,12,simple,NA,Roupala_montana,NA,NA,12.5,
459,Proteales,Proteaceae,Stenocarpus,umbellifer,1.43,63.55,17.06,NA,NA,0.3,0.76,2.57,4.91,simple,NA,Stenocarpus_umbellifer,NA,NA,4.27,
460,Proteales,Proteaceae,Symphionema,montanum,0.56,16.71,12.12,1.66,4.08,NA,NA,NA,NA,simple,NA,Symphionema_montanum,NA,2.87,NA,
461,Proteales,Proteaceae,Telopea,truncata,2.09,33.46,15.44,3,14,NA,NA,NA,NA,simple,NA,Telopea_truncata,NA,8.5,NA,
462,Ranunculales,Berberidaceae,Berberis,aquifolium,3.76,25.16,11.66,NA,NA,1,6,5.1,8.7,compound,NA,Berberis_aquifolium,NA,NA,10.4,
463,Ranunculales,Berberidaceae,Berberis,darwinii,0.95,17.29,8.78,NA,NA,0.1,0.3,1.7,3,simple,NA,Berberis_darwinii,NA,NA,2.55,
464,Ranunculales,Berberidaceae,Berberis,empetrifolia,0.67,18.87,8.52,NA,NA,0.1,0.25,0.5,1.8,simple,NA,Berberis_empetrifolia,NA,NA,1.325,
