"","order","family","genus","species","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","leaf.type","long.hoja","long.hoja.mean","long.lam.pet.mean","long.hoja.concenso"
"57","Asterales","Stylidiaceae","Stylidium","Stylidium_laricifolium",1.37,15.2,11.52,1,4,NA,NA,NA,NA,"simple",NA,2.5,NA,2.5
"58","Austrobaileyales","Austrobaileyaceae","Austrobaileya","Austrobaileya_scandens",21.16,136.84,51.12,NA,NA,1.5,3,10,16,"simple",NA,NA,15.25,15.25
"59","Austrobaileyales","Schisandraceae","Illicium","Illicium_mexicanum",8.1,38.57,18.01,NA,NA,0.6,2.6,5,21,"simple",NA,NA,14.6,14.6
"60","Austrobaileyales","Trimeniaceae","Trimenia","Trimenia_moorei",16.93,90.96,15.75,5,10,0.6,1.5,NA,NA,"simple",NA,7.5,NA,7.5
"61","Austrobaileyales","Trimeniaceae","Trimenia","Trimenia_neocaledonica",4.41,78.1,28.91,6,14,0.6,1.4,NA,NA,"simple",NA,10,NA,10
"62","Berberidopsidales","Aextoxicaceae","Aextoxicon","Aextoxicon_punctatum",11.6,40.18,7.39,3.5,9,NA,NA,NA,NA,"simple",NA,6.25,NA,6.25
"63","Berberidopsidales","Berberidopsidaceae","Berberidopsis","Berberidopsis_beckleri",8.73,72.59,15.38,NA,NA,NA,2,3,6,"simple",6.5,NA,NA,6.5
"64","Berberidopsidales","Berberidopsidaceae","Streptothamnus","Streptothamnus_moorei",13.45,153.44,14.69,NA,NA,2,3,6,12,"simple",NA,NA,11.5,11.5
"65","Boraginales","Boraginaceae","Bourreria","Bourreria_sonorae",1.82,27.07,11.21,2.7,3.8,0.25,0.32,NA,NA,"simple",NA,3.25,NA,3.25
"66","Boraginales","Boraginaceae","Cordia","Cordia_curassavica",1.09,27.3,9.7,2.1,9.4,0.1,0.8,NA,NA,"simple",NA,5.75,NA,5.75
"67","Boraginales","Boraginaceae","Cordia","Cordia_trichotoma",2.48,26.55,13.33,NA,NA,0.5,2.2,2,19,"simple",8.12,NA,11.85,11.85
"68","Brassicales","Akaniaceae","Akania","Akania_bidwillii",12.87,72.16,27.41,25,39.83,0,3.021,25,36.81,"compound",35.23,32.415,32.4155,32.4155
"69","Brassicales","Bataceae","Batis","Batis_maritima",1.46,31.25,14.31,0.5,2,0.2,0.3,0.5,2,"simple",1.198,1.25,1.5,1.5
"70","Brassicales","Caricaceae","Jacaratia","Jacaratia_dolichaula",5.77,124.12,36.13,8.863,52,2.923,36.79,5.94,15.023,"compound",29.997,30.4315,30.338,30.338
"71","Brassicales","Caricaceae","Jacaratia","Jacaratia_mexicana",13.17,173.47,40.74,19.11,27.628,7.19,12.411,9.916,12.28,"simple",NA,23.369,20.8985,20.8985
"72","Brassicales","Forchhammeriaceae","Forchhammeria","Forchhammeria_watsonii",4.94,70.81,11.24,5.699,12.084,0.167,0.356,5.255,11.665,"simple",NA,8.8915,8.7215,8.7215
"73","Brassicales","Gyrostemonaceae","Codonocarpus","Codonocarpus_cotinifolius",4.3,108.42,24.94,5.629,4.973,0.761,1.461,3.766,4.289,"simple",NA,5.301,5.1385,5.1385
"74","Brassicales","Gyrostemonaceae","Gyrostemon","Gyrostemon_ramulosus",3.63,91.06,23.02,0.08,8.94,NA,NA,NA,NA,"simple",NA,4.51,NA,4.51
"75","Bruniales","Bruniaceae","Berzelia","Berzelia_lanuginosa",3,24.89,16.17,0.876,0.478,NA,NA,NA,NA,"simple",NA,0.677,NA,0.677
"76","Bruniales","Columelliaceae","Desfontainia","Desfontainia_spinosa",3.5,26.05,6.76,3.847,6.243,NA,NA,NA,NA,"simple",NA,5.045,NA,5.045
"77","Buxales","Buxaceae","Buxus","Buxus_sempervirens",1.42,16.23,7.4,1,3,0.145,0.258,1.498,2.411,"simple",NA,2,2.156,2.156
