order,family,genus,sp,locality,authority,collector,coll,Wood Density g/ml
Brassicales,Caricaceae,Jacaratia,mexicana,,A.DC.,Olson,1502A,0.2
Brassicales,Caricaceae,Jacaratia,mexicana,,A.DC.,Olson,1616,0.21
Brassicales,Caricaceae,Jacaratia,mexicana,,A.DC.,Olson,1618,0.13
Brassicales,Caricaceae,Jacaratia,mexicana,,A.DC.,Olson ,2785,0.29
Fagales,Fagaceae,Quercus,rubra,,L.,Olson,5073,0.52
Fagales,Fagaceae,Quercus,rubra,,L.,Olson,5074,0.45
Fagales,Fagaceae,Quercus,rubra,,L.,Olson,5075,0.47
Fagales,Fagaceae,Quercus,rubra,,L.,Olson,5113,0.51
Rosales,Moraceae,Ficus,insipida,,Willd.,Olson,1384,0.4
Rosales,Moraceae,Ficus,insipida,,Willd.,Olson,1385,0.41
Rosales,Moraceae,Ficus,insipida,,Willd.,Olson,1389,0.36
