order,family,genus,sp,locality,authority,collector,coll,Wood Density g/ml
Dipsacales,Caprifoliaceae,Lonicera,subspicata,,,Olson,4362,0.48
Fagales,Fagaceae,Quercus,berberidifolia,,Liebm.,Olson,4348,0.79
Fagales,Fagaceae,Quercus,berberidifolia,,Liebm.,Olson,4349,0.78
Fagales,Fagaceae,Quercus,berberidifolia,,Liebm.,Olson,4350,0.47
Boraginales,Hydrophyllaceae,Eriodictyon,californicum,,(Hook. & Arn.) Decne.,Olson,2599,0.36
Boraginales,Hydrophyllaceae,Eriodictyon,californicum,,(Hook. & Arn.) Decne.,Olson,2600,0.41
Boraginales,Hydrophyllaceae,Eriodictyon,californicum,,(Hook. & Arn.) Decne.,Olson,2601,0.47
Boraginales,Orobanchaceae,Castilleja,sp,,,M?ndez-Alonzo,73,0.2
Boraginales,Orobanchaceae,Castilleja,sp,,,M?ndez-Alonzo,74,0.26
Boraginales,Orobanchaceae,Castilleja,sp,,,M?ndez-Alonzo,75,0.25
Sapindales,Burseraceae,Bursera,microphylla,,A. Gray,Olson,2973,0.3
Sapindales,Burseraceae,Bursera,microphylla,,A. Gray,Olson,2977,0.27
Sapindales,Burseraceae,Bursera,microphylla,,A. Gray,Olson,2993,0.36
Sapindales,Burseraceae,Bursera,microphylla,,A. Gray,Olson,3011,0.3
Sapindales,Burseraceae,Bursera,microphylla,,A. Gray,Olson,3013,0.26
Fabales,Fabaceae,Acacia,farnesiana,,(L.) Willd.,Olson,3079,0.67
Fabales,Fabaceae,Acacia,farnesiana,,(L.) Willd.,Olson,3080,0.72
Fabales,Fabaceae,Acacia,farnesiana,,(L.) Willd.,Olson,3081,0.69
Rosales,Rosaceae,Polylepis,besseri,,Hieron.,Olson,5770,0.47311828
Rosales,Rosaceae,Polylepis,besseri,,Hieron.,Olson,5771,0.4
Rosales,Rosaceae,Polylepis,besseri,,Hieron.,Olson,5772,0.4
Rosales,Urticaceae,Dendrocnide,excelsa,,(Wedd.) Chew,Olson,2378,0.2
Rosales,Urticaceae,Dendrocnide,excelsa,,(Wedd.) Chew,Olson,2379,0.2
Rosales,Urticaceae,Dendrocnide,excelsa,,(Wedd.) Chew,Olson,2380,0.15
Asterales,Stylidiaceae,Stylidium,laricifolium,,Rich.,Olson,2205,0.62
Asterales,Stylidiaceae,Stylidium,laricifolium,,Rich.,Olson,2206,0.59
Asterales,Stylidiaceae,Stylidium,laricifolium,,Rich.,Olson,2207,0.6
Oxalidales,Cunoniaceae,Ceratopetalum,gummiferum,,Sm. ,Olson,4126,0.43
Asterales,Asteraceae,Ozothamnus,ledifolius,,(DC.) Hook.f.,Olson,2299,0.67
Asterales,Asteraceae,Ozothamnus,ledifolius,,(DC.) Hook.f.,Olson,2300,0.83
Asterales,Asteraceae,Ozothamnus,ledifolius,,(DC.) Hook.f.,Olson,2301,0.33
Magnoliales,Myristicaceae,Virola,guatemalensis,,(Hemsl.) Warb.,Olson,1411,0.38
Magnoliales,Myristicaceae,Virola,guatemalensis,,(Hemsl.) Warb.,Olson,1417,0.43
Magnoliales,Myristicaceae,Virola,guatemalensis,,(Hemsl.) Warb.,Olson,1419,0.45
Magnoliales,Myristicaceae,Virola,guatemalensis,,(Hemsl.) Warb.,Olson,1423,0.44
